Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignUp,Chrome 97.0.4692.99,,,2022-01-28 12:37:30,2022-01-28 12:38:26,56.044s,PASSED
,,,,,,,
Test Cases/SignUp/SignUp with email,Chrome 97.0.4692.99,,SignUp,2022-01-28 12:37:30,2022-01-28 12:37:48,17.316s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-28 12:37:31,2022-01-28 12:37:34,3.050s,PASSED
"navigateToUrl(""https://dev.adroot.io/auth/signin"")",Chrome 97.0.4692.99,,,2022-01-28 12:37:34,2022-01-28 12:37:37,2.539s,PASSED
"click(findTestObject(""Object Repository/SignUp/Page_AdRoot  Login/a_Sign up now""))",Chrome 97.0.4692.99,,,2022-01-28 12:37:37,2022-01-28 12:37:37,0.712s,PASSED
"setText(findTestObject(""Object Repository/SignUp/Page_AdRoot  Sign up/input_First name_first_name""), ""Ruzan"")",Chrome 97.0.4692.99,,,2022-01-28 12:37:37,2022-01-28 12:37:39,1.341s,PASSED
"setText(findTestObject(""Object Repository/SignUp/Page_AdRoot  Sign up/input_Last name_last_name""), ""Test"")",Chrome 97.0.4692.99,,,2022-01-28 12:37:39,2022-01-28 12:37:39,0.845s,PASSED
"setText(findTestObject(""Object Repository/SignUp/Page_AdRoot  Sign up/input_E-mail_email""), ""runayan@gmail.com"")",Chrome 97.0.4692.99,,,2022-01-28 12:37:39,2022-01-28 12:37:40,0.881s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SignUp/Page_AdRoot  Sign up/input_Password_password""), ""9juLMCYi8sYpY2Mrwe5diw=="")",Chrome 97.0.4692.99,,,2022-01-28 12:37:40,2022-01-28 12:37:41,0.607s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SignUp/Page_AdRoot  Sign up/input_Confirm password_confirm""), ""9juLMCYi8sYpY2Mrwe5diw=="")",Chrome 97.0.4692.99,,,2022-01-28 12:37:41,2022-01-28 12:37:42,0.705s,PASSED
"click(findTestObject(""Object Repository/SignUp/Page_AdRoot  Sign up/div_Confirm password_checkbox""))",Chrome 97.0.4692.99,,,2022-01-28 12:37:42,2022-01-28 12:37:42,0.535s,PASSED
"click(findTestObject(""SignUp/SignUp with email/Page_AdRoot  Sign up/button_Sign up""))",Chrome 97.0.4692.99,,,2022-01-28 12:37:42,2022-01-28 12:37:43,0.434s,PASSED
"Ms = verifyTextPresent(""The E-mail address exists."", false)",Chrome 97.0.4692.99,,,2022-01-28 12:37:43,2022-01-28 12:37:43,0.367s,PASSED
"if (Ms.equals(""true""))",Chrome 97.0.4692.99,,,2022-01-28 12:37:43,2022-01-28 12:37:45,1.703s,PASSED
"click(findTestObject(""Object Repository/SignUp/Page_AdRoot  Dashboard/img_No any notification_non-draggable-image_8aff0b""))",Chrome 97.0.4692.99,,,2022-01-28 12:37:45,2022-01-28 12:37:47,2.266s,PASSED
