Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pause campaign-both,Chrome 98.0.4758.82,,,2022-02-16 17:40:31,2022-02-16 17:41:21,50.447s,PASSED
,,,,,,,
Test Cases/Everyday campaign pause/App-pause campaign,Chrome 98.0.4758.82,,Pause,2022-02-16 17:40:31,2022-02-16 17:40:58,26.449s,PASSED
"openBrowser("""")",Chrome 98.0.4758.82,,,2022-02-16 17:40:32,2022-02-16 17:40:35,3.274s,PASSED
"navigateToUrl(""https://app.adroot.io/auth/signin"")",Chrome 98.0.4758.82,,,2022-02-16 17:40:35,2022-02-16 17:40:38,2.398s,PASSED
"setText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_E-mail_email""), ""makronmanuel01@gmail.com"")",Chrome 98.0.4758.82,,,2022-02-16 17:40:38,2022-02-16 17:40:39,0.969s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), ""9juLMCYi8sYpY2Mrwe5diw=="")",Chrome 98.0.4758.82,,,2022-02-16 17:40:39,2022-02-16 17:40:39,0.563s,PASSED
"sendKeys(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), Keys.chord(ENTER))",Chrome 98.0.4758.82,,,2022-02-16 17:40:39,2022-02-16 17:40:40,0.572s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/img""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:40,2022-02-16 17:40:42,1.996s,PASSED
"click(findTestObject(""App-Create campaign/Page_AdRoot  Campaigns/div_By Ruzan (app)""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:42,2022-02-16 17:40:42,0.569s,PASSED
"click(findTestObject(""Pause dev campaign/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:42,2022-02-16 17:40:46,3.569s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Campaign View""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:46,2022-02-16 17:40:47,1.199s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:47,2022-02-16 17:40:48,1.115s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:48,2022-02-16 17:40:49,0.531s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 98.0.4758.82,,,2022-02-16 17:40:49,2022-02-16 17:40:49,0.568s,PASSED
