Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pause app,Chrome 99.0.4844.74,,,2022-03-21 10:41:36,2022-03-21 10:42:00,24.075s,PASSED
,,,,,,,
Test Cases/Everyday campaign pause/App-pause campaign,Chrome 99.0.4844.74,,Pause,2022-03-21 10:41:36,2022-03-21 10:42:00,23.797s,PASSED
"openBrowser("""")",Chrome 99.0.4844.74,,,2022-03-21 10:41:36,2022-03-21 10:41:39,2.515s,PASSED
"setViewPortSize(1700, 900)",Chrome 99.0.4844.74,,,2022-03-21 10:41:39,2022-03-21 10:41:39,0.259s,PASSED
"navigateToUrl(""https://app.adroot.io/auth/signin"")",Chrome 99.0.4844.74,,,2022-03-21 10:41:39,2022-03-21 10:41:41,1.939s,PASSED
"setText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_E-mail_email""), ""makronmanuel01@gmail.com"")",Chrome 99.0.4844.74,,,2022-03-21 10:41:41,2022-03-21 10:41:42,0.975s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), ""9juLMCYi8sYpY2Mrwe5diw=="")",Chrome 99.0.4844.74,,,2022-03-21 10:41:42,2022-03-21 10:41:43,0.640s,PASSED
"sendKeys(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Login/input_Password_password""), Keys.chord(ENTER))",Chrome 99.0.4844.74,,,2022-03-21 10:41:43,2022-03-21 10:41:43,0.510s,PASSED
"click(findTestObject(""Page_AdRoot  Campaigns/img""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:43,2022-03-21 10:41:46,2.294s,PASSED
"click(findTestObject(""Page_AdRoot  Campaigns/div_By Ruzan (app)""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:46,2022-03-21 10:41:46,0.634s,PASSED
"click(findTestObject(""Campaign copy/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:46,2022-03-21 10:41:49,2.322s,PASSED
"click(findTestObject(""Regular Create campaign/Page_AdRoot  Campaigns/div_Campaign View""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:49,2022-03-21 10:41:50,1.084s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:50,2022-03-21 10:41:51,1.200s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:51,2022-03-21 10:41:51,0.574s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:51,2022-03-21 10:41:52,0.581s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot4428""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:52,2022-03-21 10:41:53,0.531s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue_1""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:53,2022-03-21 10:41:53,0.749s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:53,2022-03-21 10:41:54,0.480s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:54,2022-03-21 10:41:54,0.548s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot1390""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:54,2022-03-21 10:41:55,0.517s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:55,2022-03-21 10:41:56,0.704s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:56,2022-03-21 10:41:56,0.479s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:56,2022-03-21 10:41:57,0.522s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_devadroot976""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:57,2022-03-21 10:41:57,0.503s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_PAUSED_tree-dots dots-blue_1""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:57,2022-03-21 10:41:58,0.718s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/div_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:58,2022-03-21 10:41:58,0.475s,PASSED
"click(findTestObject(""Object Repository/Pause dev campaign/Page_AdRoot  Campaigns/button_Pause""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:58,2022-03-21 10:41:59,0.489s,PASSED
"click(findTestObject(""Campaign copy/Page_AdRoot  Dashboard/a_Campaigns""))",Chrome 99.0.4844.74,,,2022-03-21 10:41:59,2022-03-21 10:41:59,0.487s,PASSED
closeBrowser(),Chrome 99.0.4844.74,,,2022-03-21 10:41:59,2022-03-21 10:42:00,0.648s,PASSED
